"county","total_itop","asian_itop","hispanic_itop","white_itop","black_itop","native_american_itop","other_itop","year","tot_pop","urban","total_rate","white_rate","black_rate","hispanic_rate","asian_rate","native_american_rate","other_rate"
"Anderson",54,1,9,22,20,0,1,2020,22942,"Rural",2.35376165983785,1.48377959128617,6.20925178515989,2.46710526315789,5.37634408602151,0,1.0482180293501
"Andrews",7,0,5,2,0,0,0,2020,9249,"Rural",0.756838577143475,0.544514021236047,0,0.969743987587277,0,0,0
"Angelina",94,3,25,38,27,0,1,2020,44193,"Rural",2.12703369311882,1.48391127772571,4.00118553645525,2.57652272493043,6.14754098360656,0,0.644329896907217
"Aransas",11,0,3,8,0,0,0,2020,11946,"Rural",0.920810313075506,1.001627644923,0,0.989772352358957,0,0,0
"Archer",2,0,0,1,1,0,0,2020,4299,"Rural",0.465224470807164,0.272108843537415,200,0,0,0,0
"Armstrong",0,0,0,0,0,0,0,2020,939,"Rural",0,0,0,0,0,0,0
"Atascosa",72,0,49,23,0,0,0,2020,24702,"Rural",2.91474374544571,2.84794452699356,0,3.11130865451775,0,0,0
"Austin",27,0,8,13,6,0,0,2020,15225,"Rural",1.77339901477833,1.37566137566138,4.84652665589661,2.03252032520325,0,0,0
"Bailey",3,0,3,0,0,0,0,2020,3344,"Rural",0.897129186602871,0,0,1.4018691588785,0,0,0
"Bandera",12,0,0,12,0,0,0,2020,10548,"Rural",1.13765642775882,1.52187698161065,0,0,0,0,0
"Bastrop",131,2,52,55,12,0,1,2020,47866,"Urban",2.73680691931642,2.4039512216443,4.6583850931677,2.59675405742821,4.77326968973747,0,0.546746856205577
"Baylor",1,0,0,0,1,0,0,2020,1794,"Rural",0.557413600891862,0,35.7142857142857,0,0,0,0
"Bee",33,0,21,9,2,0,0,2020,12143,"Rural",2.71761508688133,2.44897959183673,9.34579439252336,2.66768292682927,0,0,0
"Bell",1005,53,193,249,395,5,28,2020,189865,"Urban",5.29323466673689,3.1380357660462,9.49108558796675,4.06281576288313,8.18280067932685,6.31313131313131,1.98230088495575
"Bexar",5178,157,3116,1154,726,9,7,2020,1026487,"Urban",5.04438926162728,4.28402252638535,9.81810805328285,5.08671577077783,4.45567033715518,3.89105058365759,0.211838760440625
"Blanco",16,0,5,11,0,0,0,2020,5762,"Rural",2.77681360638667,2.48699977390911,0,4.91642084562439,0,0,0
"Borden",1,0,0,1,0,0,0,2020,300,"Rural",3.33333333333333,3.90625,0,0,0,0,0
"Bosque",22,0,2,20,0,0,0,2020,9231,"Rural",2.38327375148955,2.89268151576511,0,1.20481927710843,0,0,0
"Bowie",152,3,15,48,77,2,6,2020,46213,"Urban",3.28911778071106,1.70684873053126,6.6111445007298,4.79386385426654,4.90998363338789,7.09219858156028,2.47729149463254
"Brazoria",624,22,179,206,214,1,1,2020,185337,"Urban",3.36683986467894,2.56018294122764,7.97525435098573,3.1623206840506,1.61657726504519,1.87617260787993,0.137080191912269
"Brazos",320,13,92,128,79,0,5,2020,116549,"Urban",2.74562630309998,2.07300877789654,6.41129686739166,2.95838960704868,1.9723865877712,0,1.10302228105008
"Brewster",4,0,3,1,0,0,0,2020,4664,"Rural",0.857632933104631,0.423370025402202,0,1.50075037518759,0,0,0
"Briscoe",0,0,0,0,0,0,0,2020,695,"Rural",0,0,0,0,0,0,0
"Brooks",11,0,9,2,0,0,0,2020,3452,"Rural",3.18655851680185,7.75193798449612,0,2.86624203821656,0,0,0
"Brown",20,0,3,15,2,0,0,2020,19135,"Rural",1.0452051215051,1.1093033574915,3.62976406533575,0.73764445537251,0,0,0
"Burleson",14,0,0,11,3,0,0,2020,8945,"Rural",1.56512017887088,1.93389592123769,3.09278350515464,0,0,0,0
"Burnet",48,1,12,29,1,1,1,2020,24986,"Rural",1.92107580244937,1.62410394265233,3.01204819277108,2.21035181433045,3.71747211895911,11.7647058823529,0.985221674876847
"Caldwell",88,1,47,31,2,0,1,2020,23348,"Urban",3.76905944834675,3.59253679453007,1.78412132024978,3.68021298253856,7.5187969924812,0,1.60513643659711
"Calhoun",16,0,7,9,0,0,0,2020,9823,"Rural",1.62883029624351,2.165022853019,0,1.45681581685744,0,0,0
"Callahan",5,1,1,3,0,0,0,2020,6896,"Rural",0.725058004640371,0.515995872033024,0,1.5748031496063,30.3030303030303,0,0
"Cameron",389,3,291,94,0,0,0,2020,217794,"Urban",1.78609144420875,5.16511896258036,0,1.48414111070877,2.26415094339623,0,0
"Camp",5,0,1,0,4,0,0,2020,6382,"Rural",0.783453462864306,0,3.94866732477789,0.630119722747322,0,0,0
"Carson",1,0,0,1,0,0,0,2020,2922,"Rural",0.342231348391513,0.40950040950041,0,0,0,0,0
"Cass",18,1,2,8,6,0,1,2020,14650,"Rural",1.22866894197952,0.737055463423623,2.5,3.03951367781155,16.9491525423729,0,1.67224080267559
"Castro",1,0,0,0,1,0,0,2020,3599,"Rural",0.277854959711031,0,20.4081632653061,0,0,0,0
"Chambers",46,0,13,28,5,0,0,2020,23362,"Urban",1.96900950261108,1.87441424554827,3.13479623824451,2.40518038852914,0,0,0
"Cherokee",42,0,9,18,13,1,1,2020,24862,"Rural",1.68932507441075,1.18374325923977,4.33911882510013,1.61957890948353,0,13.1578947368421,1.12233445566779
"Childress",4,0,0,1,3,0,0,2020,2820,"Rural",1.41843971631206,0.55005500550055,31.25,0,0,0,0
"Clay",4,0,0,4,0,0,0,2020,5142,"Rural",0.777907429015947,0.890670229347584,0,0,0,0,0
